pairid,geneChr_Nested,geneStart_Nested,geneEnd_Nested,ENST_Nested,SYMBOL_Nested,biotype_Nested,tau_value_nested,geneChr_Host,geneStart_Host,geneEnd_Host,ENST_Host,SYMBOL_Host,biotype_Host,tau_value_host,spearman_correlation
3068_ID,chr7,5515434,5519442,ENST00000444210.2_1,AC092171.2,lncRNA,0.8574,chr7,5470965,5553383,ENST00000415009.5_3,FBXL18,nonsense_mediated_decay,0.8527,0.31035636
3069_ID,chr7,39333905,39334005,ENST00000582398.1,AC092174.1,miRNA,NA,chr7,39017508,39508200,ENST00000518318.7_4,POU6F2,protein_coding,NA,NA
3070_ID,chr16,85260808,85342782,ENST00000653746.1_1,AC092275.1,lncRNA,0.8611,chr16,85203130,85667738,ENST00000637419.1_3,GSE1,protein_coding,0.893,0.355831868
3071_ID,chr16,72613440,72613536,ENST00000408359.1,AC092289.1,miRNA,NA,chr16,72316106,72698846,ENST00000624829.4_4,LINC01572,lncRNA,NA,NA
3072_ID,chr16,14564841,14565054,ENST00000599734.1,AC092291.2,protein_coding,NA,chr16,14529556,14724117,ENST00000651865.1_3,PARN,protein_coding,NA,NA
3073_ID,chr19,36797985,36812176,ENST00000660925.1_3,AC092296.2,lncRNA,0.9554,chr19,36753161,36812226,ENST00000675324.1_1,LINC00665,lncRNA,0.6012,0.019580526
3074_ID,chr19,46333421,46334366,ENST00000601618.1_1,AC092301.1,lncRNA,0.6471,chr19,46318667,46366405,ENST00000245934.12_4,SYMPK,protein_coding,0.8695,0.137576629
3075_ID,chr19,8614389,8615023,ENST00000598703.1_1,AC092316.1,lncRNA,0.7773,chr19,8585680,8642461,ENST00000613525.4_3,MYO1F,protein_coding,0.9612,0.031696612
3076_ID,chr19,8611742,8611812,ENST00000581156.1,AC092316.2,miRNA,NA,chr19,8585680,8642461,ENST00000613525.4_3,MYO1F,protein_coding,NA,NA
3077_ID,chr16,86380992,86383217,ENST00000595705.1_1,AC092327.2,lncRNA,0.99,chr16,86365449,86383294,ENST00000656700.1_3,LINC00917,lncRNA,0.9656,0.702193824
3078_ID,chr16,80661447,80662276,ENST00000563684.1_1,AC092332.1,lncRNA,1,chr16,80631803,80838495,ENST00000570137.7_5,CDYL2,protein_coding,0.8356,-0.201431899
3079_ID,chr16,22376441,22380368,ENST00000566764.1_1,AC092338.1,lncRNA,0.8422,chr16,22360692,22444986,ENST00000563573.5_3,CDR2,protein_coding,0.7506,0.404347826
3080_ID,chr16,22386207,22389501,ENST00000567158.1_1,AC092338.2,lncRNA,1,chr16,22360692,22444986,ENST00000563573.5_3,CDR2,protein_coding,0.7506,0.101587965
3081_ID,chr5,58335587,58359330,ENST00000500224.2_2,AC092343.1,lncRNA,0.9484,chr5,58270483,59783903,ENST00000502484.6_5,PDE4D,protein_coding,0.9575,0.214741598
3082_ID,chr19,21935812,21935885,ENST00000579465.1,AC092364.2,miRNA,NA,chr19,21905572,21950381,ENST00000358296.11_6,ZNF100,protein_coding,NA,NA
3083_ID,chr16,79236520,79240636,ENST00000622621.1_1,AC092376.2,lncRNA,0.8809,chr16,78133550,79246564,ENST00000402655.6_1,WWOX,protein_coding,0.9301,0.006320936
3084_ID,chr16,79242389,79245161,ENST00000649926.1_3,AC092376.3,lncRNA,0.8499,chr16,78133550,79246564,ENST00000402655.6_1,WWOX,protein_coding,0.9301,-0.047066209
3085_ID,chr16,85378876,85386567,ENST00000653751.1_3,AC092377.1,lncRNA,0.97,chr16,85203130,85667738,ENST00000637419.1_3,GSE1,protein_coding,0.893,-0.015284285
3086_ID,chr16,58881618,58914255,ENST00000662590.1_3,AC092378.1,lncRNA,0.9701,chr16,58783570,59233299,ENST00000657379.1_1,AC106793.1,lncRNA,0.9456,0.708196035
3087_ID,chr16,13137328,13137433,ENST00000580895.1,AC092380.1,miRNA,NA,chr16,12995454,13334273,ENST00000558583.3_3,SHISA9,protein_coding,NA,NA
3088_ID,chr16,89006196,89017932,ENST00000378347.2_1,AC092384.1,lncRNA,0.9067,chr16,88941265,89043615,ENST00000268679.9_5,CBFA2T3,protein_coding,0.9829,0.510133178
3089_ID,chr16,88949679,88953544,ENST00000565053.1_1,AC092384.2,lncRNA,0.9598,chr16,88941265,89043615,ENST00000268679.9_5,CBFA2T3,protein_coding,0.9829,0.513444303
3090_ID,chr16,89003186,89006059,ENST00000564646.1_1,AC092384.3,lncRNA,0.914,chr16,88941265,89043615,ENST00000268679.9_5,CBFA2T3,protein_coding,0.9829,0.228808197
3091_ID,chr7,4765070,4768352,ENST00000658333.1_1,AC092428.1,lncRNA,0.9362,chr7,4721925,4811073,ENST00000328914.5_2,FOXK1,protein_coding,0.6143,0.441761445
3092_ID,chr2,69927323,69940979,ENST00000415342.1_3,AC092431.1,lncRNA,0.8421,chr2,69871556,70008692,ENST00000418066.2_1,ANXA4,processed_transcript,0.8686,0.388561237
3093_ID,chr4,147855152,147866623,ENST00000515530.1_1,AC092435.2,lncRNA,0.9813,chr4,147627789,147866984,ENST00000513335.5_3,TTC29,protein_coding,0.9676,1
3094_ID,chr4,25771887,25775199,ENST00000510905.1_1,AC092436.3,lncRNA,0.8945,chr4,25749054,25865217,ENST00000264868.9_5,SEL1L3,protein_coding,0.7667,0.455149339
3095_ID,chr4,6066703,6071889,ENST00000636216.1_5,AC092442.1,protein_coding,0,chr4,6027929,6202282,ENST00000409371.8_4,JAKMIP1,protein_coding,0.9973,NA
3096_ID,chr4,6066703,6071889,ENST00000636216.1_5,AC092442.1,protein_coding,0,chr4,5958844,6202282,ENST00000531445.3_8,C4orf50,protein_coding,0.9212,NA
3097_ID,chr4,6955015,6955101,ENST00000580502.1,AC092463.1,miRNA,NA,chr4,6911170,7034845,ENST00000448507.5_2,TBC1D14,protein_coding,NA,NA
3098_ID,chr3,115377379,115380126,ENST00000491321.1_1,AC092468.1,lncRNA,1,chr3,115342356,115440337,ENST00000393780.3_3,GAP43,protein_coding,0.9328,0.232451653
3099_ID,chr12,8940869,8948385,ENST00000514568.2_1,AC092490.1,lncRNA,0.9008,chr12,8928814,8983543,ENST00000537288.1_3,A2ML1-AS1,lncRNA,0.9774,0.051070287
3100_ID,chr4,1161565,1161962,ENST00000609548.1_2,AC092535.5,lncRNA,0.9082,chr4,1160724,1202750,ENST00000617421.4_3,SPON2,protein_coding,0,NA
3101_ID,chr4,80517695,80518327,ENST00000513155.1_1,AC092542.1,lncRNA,0.8613,chr4,80413746,80544633,ENST00000668018.1_1,LINC00989,lncRNA,0.8925,0.535512957
3102_ID,chr2,63053198,63085573,ENST00000452397.1_3,AC092567.1,lncRNA,0.9956,chr2,62900985,63272732,ENST00000405015.7_2,EHBP1,protein_coding,0.9695,0.40011525
3103_ID,chr2,63044898,63046841,ENST00000657432.1_3,AC092567.2,lncRNA,0.7457,chr2,62900985,63272732,ENST00000405015.7_2,EHBP1,protein_coding,0.9695,-0.027419815
3104_ID,chr4,409906,410326,ENST00000609771.1_1,AC092574.1,lncRNA,0.6878,chr4,379962,447859,ENST00000631198.1_1,AC092574.2,lncRNA,0.8283,-0.261502905
3105_ID,chr2,7811734,7812377,ENST00000414654.1_3,AC092580.2,lncRNA,0.9038,chr2,7811460,7815867,ENST00000664007.1_1,AC092580.4,lncRNA,0.8274,0.484285878
3106_ID,chr2,99771460,99811761,ENST00000410042.1_1,AC092587.1,protein_coding,0.883,chr2,99757947,99939196,ENST00000424491.5_1,AC079447.1,nonsense_mediated_decay,0.8168,0.424892636
3107_ID,chr4,157762510,157763388,ENST00000503505.1_1,AC092608.1,lncRNA,0.9303,chr4,157681605,157892951,ENST00000502773.6_4,PDGFC,protein_coding,0.7437,-0.037526623
3108_ID,chr4,152595634,152599045,ENST00000514269.1_1,AC092611.1,lncRNA,0.7006,chr4,152591655,152682159,ENST00000263985.11_4,GATB,protein_coding,0.8132,-0.165776219
3109_ID,chr2,8628549,8645157,ENST00000649387.1_1,AC092617.1,lncRNA,0.7707,chr2,8601832,8733033,ENST00000670008.1_3,LINC01814,lncRNA,0.9159,0.112866004
3110_ID,chr7,63361445,63361511,ENST00000585312.1,AC092634.1,miRNA,NA,chr7,63360690,63385580,ENST00000656045.1_1,LINC02848,lncRNA,NA,NA
3111_ID,chr7,63387213,63387279,ENST00000582948.1,AC092634.2,miRNA,NA,chr7,63386209,63391298,ENST00000652932.1_1,AC092634.8,lncRNA,NA,NA
3112_ID,chr2,97578285,97583009,ENST00000661235.1_1,AC092636.1,lncRNA,0.9248,chr2,97541621,97652317,ENST00000490605.3_7,FAM178B,protein_coding,0.988,0.666082046
3113_ID,chr2,112997197,113001952,ENST00000662099.1_1,AC092645.2,lncRNA,0.7262,chr2,112969105,113012619,ENST00000409573.7_5,ZC3H8,protein_coding,0.6519,0.471306471
3114_ID,chr2,144433733,144498863,ENST00000552220.1_4,AC092652.1,lncRNA,0.6904,chr2,143886987,144525921,ENST00000295095.11_2,ARHGAP15,protein_coding,0.88,-0.047349936
3115_ID,chr2,144359085,144366328,ENST00000473426.1_2,AC092652.2,lncRNA,0.8874,chr2,143886987,144525921,ENST00000295095.11_2,ARHGAP15,protein_coding,0.88,0.512460354
3116_ID,chr4,118569986,118578467,ENST00000650758.1_2,AC092661.1,lncRNA,0.8623,chr4,118327321,118610182,ENST00000626258.2_5,LINC01378,lncRNA,0.9745,-0.010751639
3117_ID,chr2,100721380,100723966,ENST00000434301.1_1,AC092667.1,lncRNA,0.7651,chr2,100163717,100759037,ENST00000317233.8_3,AFF3,protein_coding,0.7284,0.755569948
3118_ID,chr4,177787767,177796611,ENST00000510203.1_3,AC092673.1,lncRNA,0.9752,chr4,177765646,178222312,ENST00000656694.1_3,AC097518.2,lncRNA,0.8729,0.426218357
3119_ID,chr2,98963457,98967603,ENST00000413274.1_1,AC092675.2,lncRNA,0.9694,chr2,98962918,99015064,ENST00000272602.7_3,CNGA3,protein_coding,0.9091,0.581715309
3120_ID,chr2,98963457,98967603,ENST00000413274.1_1,AC092675.2,lncRNA,0.9694,chr2,98949676,98972468,ENST00000454230.1_4,AC092675.1,lncRNA,0.9697,0.132016077
3121_ID,chr2,10987702,10995081,ENST00000418835.1_1,AC092687.1,lncRNA,0.9472,chr2,10984602,11025239,ENST00000670239.1_1,LINC01954,lncRNA,0.9728,0.370078025
3122_ID,chr2,10908000,10910184,ENST00000606907.1_3,AC092687.3,lncRNA,0.7996,chr2,10861755,10925236,ENST00000272238.9_4,ATP6V1C2,protein_coding,0.9412,0.084593509
3123_ID,chr3,117438705,117512655,ENST00000656192.1_1,AC092691.3,lncRNA,0.9752,chr3,117391000,117716439,ENST00000484092.1_4,AC092691.1,lncRNA,0.9432,0.484214382
3124_ID,chr16,81110923,81112466,ENST00000501068.2_1,AC092718.1,lncRNA,0.9005,chr16,81087191,81129838,ENST00000638948.1_4,AC092718.3,protein_coding,0.5646,0.213388037
3125_ID,chr16,81110923,81112466,ENST00000501068.2_1,AC092718.1,lncRNA,0.9005,chr16,81055920,81129889,ENST00000640345.1_3,AC092718.8,protein_coding,0.8639,0.341761468
3126_ID,chr16,81064374,81065090,ENST00000566639.1_1,AC092718.4,lncRNA,0.8924,chr16,81055920,81129889,ENST00000640345.1_3,AC092718.8,protein_coding,0.8639,0.167379384
3127_ID,chr16,81064374,81065090,ENST00000566639.1_1,AC092718.4,lncRNA,0.8924,chr16,81040818,81066719,ENST00000393335.7_1,CENPN,protein_coding,0.9617,0.215108235
3128_ID,chr16,81064374,81065090,ENST00000566639.1_1,AC092718.4,lncRNA,0.8924,chr16,81051807,81069340,ENST00000649061.1_3,AC092718.2,lncRNA,0.7819,-0.36797066
3129_ID,chr16,81088905,81090031,ENST00000562450.1_1,AC092718.5,lncRNA,0.7055,chr16,81087101,81110818,ENST00000378611.8_3,C16orf46,protein_coding,0.8131,0.58102954
3130_ID,chr16,81088905,81090031,ENST00000562450.1_1,AC092718.5,lncRNA,0.7055,chr16,81087191,81129838,ENST00000638948.1_4,AC092718.3,protein_coding,0.5646,0.189354622
3131_ID,chr16,81088905,81090031,ENST00000562450.1_1,AC092718.5,lncRNA,0.7055,chr16,81055920,81129889,ENST00000640345.1_3,AC092718.8,protein_coding,0.8639,0.411117975
3132_ID,chr16,81103458,81110203,ENST00000568362.5_1,AC092718.6,lncRNA,0,chr16,81087101,81110818,ENST00000378611.8_3,C16orf46,protein_coding,0.8131,NA
3133_ID,chr16,81103458,81110203,ENST00000568362.5_1,AC092718.6,lncRNA,0,chr16,81087191,81129838,ENST00000638948.1_4,AC092718.3,protein_coding,0.5646,NA
3134_ID,chr16,81103458,81110203,ENST00000568362.5_1,AC092718.6,lncRNA,0,chr16,81055920,81129889,ENST00000640345.1_3,AC092718.8,protein_coding,0.8639,NA
3135_ID,chr16,81185424,81187581,ENST00000662219.1_1,AC092718.9,lncRNA,0,chr16,81134727,81253975,ENST00000525539.5_5,PKD1L2,polymorphic_pseudogene,0,NA
3136_ID,chr16,86015355,86018487,ENST00000599411.2_2,AC092723.1,lncRNA,0.8755,chr16,85996933,86018992,ENST00000645754.1_3,AC092723.4,lncRNA,0.9394,0.137961143
3137_ID,chr16,27078248,27079179,ENST00000565783.1_3,AC092725.1,lncRNA,0,chr16,27078027,27080486,ENST00000505035.2_4,C16orf82,protein_coding,0.9776,NA
3138_ID,chr12,8474471,8482210,ENST00000535746.5_1,AC092745.1,lncRNA,0.9768,chr12,8395742,8494644,ENST00000669735.1_1,AC092745.5,lncRNA,0.5739,0.171096207
3139_ID,chr12,8474471,8482210,ENST00000535746.5_1,AC092745.1,lncRNA,0.9768,chr12,8448581,8549399,ENST00000544461.1_4,LINC00937,lncRNA,0.8099,0.318825108
3140_ID,chr12,8435272,8439114,ENST00000656887.1_3,AC092745.4,lncRNA,0.8794,chr12,8395742,8494644,ENST00000669735.1_1,AC092745.5,lncRNA,0.5739,0.41025641
3141_ID,chr12,27190032,27191893,ENST00000620519.1_1,AC092747.4,lncRNA,0.6473,chr12,27175509,27219173,ENST00000538186.5_1,MED21,processed_transcript,0.7643,-0.355301668
3142_ID,chr15,59980715,59981617,ENST00000560199.1_1,AC092755.2,lncRNA,0.816,chr15,59951344,59981733,ENST00000267859.8_4,BNIP2,protein_coding,0.9526,0.308788835
3143_ID,chr15,59558918,59563361,ENST00000560248.1_3,AC092756.1,lncRNA,0.8263,chr15,59424632,59665070,ENST00000288235.9_4,MYO1E,protein_coding,0.8042,0.244407948
3144_ID,chr15,59443176,59443267,ENST00000408169.1,AC092757.1,miRNA,NA,chr15,59424632,59665070,ENST00000288235.9_4,MYO1E,protein_coding,NA,NA
3145_ID,chr15,59407745,59408288,ENST00000619686.1_1,AC092757.3,lncRNA,0.8204,chr15,59397344,59417244,ENST00000288207.7_2,CCNB2,protein_coding,0.903,-0.181846273
3146_ID,chr1,222186348,222186432,ENST00000390805.2,AC092765.1,miRNA,NA,chr1,222184166,222238115,ENST00000668844.1_3,LINC01705,lncRNA,NA,NA
3147_ID,chr12,25363585,25364167,ENST00000612734.1_1,AC092794.1,lncRNA,0.6788,chr12,25358179,25403863,ENST00000256078.10_6,KRAS,protein_coding,0.9335,0.356532357
3148_ID,chr12,25378036,25378599,ENST00000620933.1_1,AC092794.2,lncRNA,0.8213,chr12,25358179,25403863,ENST00000256078.10_6,KRAS,protein_coding,0.9335,0.025779104
3149_ID,chr3,25810150,25810202,ENST00000577400.1,AC092798.1,miRNA,NA,chr3,25760901,25831530,ENST00000417874.6_4,NGLY1,protein_coding,NA,NA
3150_ID,chr1,201642232,201643272,ENST00000449492.1_4,AC092800.1,lncRNA,0.9119,chr1,201592054,201792472,ENST00000367302.5_3,NAV1,protein_coding,0.9748,0.08396075
3151_ID,chr1,95627231,95699513,ENST00000663020.1_3,AC092802.1,lncRNA,0.6816,chr1,95583478,95710511,ENST00000604534.5_2,TLCD4-RWDD3,protein_coding,0.7139,0.702686203
3152_ID,chr1,95585702,95604110,ENST00000434207.1_1,AC092802.3,lncRNA,0.9038,chr1,95582910,95663163,ENST00000370203.9_2,TLCD4,protein_coding,0.8902,0.24506753
3153_ID,chr1,95585702,95604110,ENST00000434207.1_1,AC092802.3,lncRNA,0.9038,chr1,95583478,95710511,ENST00000604534.5_2,TLCD4-RWDD3,protein_coding,0.7139,0.549224947
3154_ID,chr1,85953981,86043933,ENST00000498304.5_3,AC092807.3,lncRNA,1,chr1,85784163,86044046,ENST00000426972.8_3,DDAH1,protein_coding,0.7227,0.0757686
3155_ID,chr12,19300007,19307593,ENST00000501211.2_1,AC092828.1,lncRNA,0.7582,chr12,19282701,19529334,ENST00000429027.6_2,PLEKHA5,protein_coding,0.9558,0.014254446
3156_ID,chrX,22655108,22655194,ENST00000577374.1,AC092832.1,miRNA,NA,chrX,22277913,23311263,ENST00000608254.1,RP11-40F8.2,lincRNA,NA,NA
3157_ID,chrX,22446248,22512830,ENST00000456621.1_1,AC092832.2,lncRNA,0,chrX,22277913,23311263,ENST00000608254.1,RP11-40F8.2,lincRNA,0.8942,NA
3158_ID,chr4,23781212,23784183,ENST00000506514.1_1,AC092834.1,lncRNA,0.9683,chr4,23756663,23883734,ENST00000509702.5_3,PPARGC1A,processed_transcript,0.8626,0.097406472
3159_ID,chr2,54772504,54773814,ENST00000431130.2_3,AC092839.1,lncRNA,0.8936,chr2,54683453,54898582,ENST00000615901.4_2,SPTBN1,protein_coding,0.9042,0.059304306
3160_ID,chr2,162775291,162775376,ENST00000517237.1,AC092841.1,miRNA,NA,chr2,162480847,162841792,ENST00000415876.6_4,SLC4A10,protein_coding,NA,NA
3161_ID,chr7,54268916,54270114,ENST00000629899.1_1,AC092848.1,lncRNA,0.9049,chr7,54252763,54325270,ENST00000657889.1_3,AC092848.2,lncRNA,0.9622,0.12746791
3162_ID,chr12,8519281,8519427,ENST00000408177.1,AC092865.1,miRNA,NA,chr12,8448581,8549399,ENST00000544461.1_4,LINC00937,lncRNA,NA,NA
3163_ID,chr15,59640846,59652088,ENST00000558749.1_3,AC092868.2,lncRNA,0.9274,chr15,59424632,59665070,ENST00000288235.9_4,MYO1E,protein_coding,0.8042,0.050656156
3164_ID,chr12,70632893,70636210,ENST00000664048.1_3,AC092881.2,lncRNA,0.9196,chr12,70295697,70637146,ENST00000549419.6_4,PRANCR,lncRNA,0.903,-0.034884128
3165_ID,chr3,113717628,113735108,ENST00000647576.1_1,AC092896.1,lncRNA,0.8659,chr3,113682983,113775373,ENST00000295878.8_5,CCDC191,protein_coding,0.6131,0.47581362044250203
3166_ID,chr3,125551271,125551371,ENST00000408754.1,AC092902.1,miRNA,NA,chr3,125485358,125571779,ENST00000641650.1_1,AC092902.4,lncRNA,NA,NA
3167_ID,chr3,125551271,125551371,ENST00000408754.1,AC092902.1,miRNA,NA,chr3,125546081,125634600,ENST00000664857.1_3,LINC02614,lncRNA,NA,NA
3168_ID,chr3,125493556,125516796,ENST00000610060.1_1,AC092902.2,lncRNA,0.8129,chr3,125485358,125571779,ENST00000641650.1_1,AC092902.4,lncRNA,0.8092,0.397457238
3169_ID,chr3,125518729,125519459,ENST00000659117.1_3,AC092902.6,lncRNA,0.7279,chr3,125485358,125571779,ENST00000641650.1_1,AC092902.4,lncRNA,0.8092,0.45764006
3170_ID,chr3,109216491,109216576,ENST00000516732.1,AC092905.1,miRNA,NA,chr3,109128873,109442120,ENST00000663929.1_1,LINC01205,lncRNA,NA,NA
3171_ID,chr3,119687890,119787051,ENST00000678483.1_1,AC092910.4,lncRNA,0,chr3,119540167,119813294,ENST00000264235.13_7,GSK3B,protein_coding,0.7482,NA
3172_ID,chr3,111185159,111215942,ENST00000497896.1_3,AC092916.1,lncRNA,0.9369,chr3,111011565,111261149,ENST00000460744.1_1,CD96,protein_coding,0.885,0.756550987
3173_ID,chr3,179689281,179734871,ENST00000667923.1_1,AC092939.1,lncRNA,0.9722,chr3,179512745,179754725,ENST00000467460.6_5,PEX5L,protein_coding,0.9809,0.27807309
3174_ID,chr3,187719487,187721194,ENST00000444379.1_3,AC092941.2,lncRNA,0.9258,chr3,187715209,187721778,ENST00000415940.1_3,AC092941.1,lncRNA,0.9086,0.594470046
3175_ID,chr3,159429640,159449435,ENST00000657094.1_3,AC092943.2,lncRNA,0.796,chr3,158787052,159615147,ENST00000485419.7_3,IQCJ-SCHIP1,protein_coding,0.959,0.454368105
3176_ID,chr3,156952368,156952938,ENST00000657907.1_3,AC092944.3,lncRNA,0.8779,chr3,156893057,157099054,ENST00000487238.5_2,AC092944.1,lncRNA,0.8792,0.211949158
3177_ID,chr3,148640489,148673875,ENST00000666418.1_3,AC092979.2,lncRNA,0.9614,chr3,148568719,148677899,ENST00000488190.1_3,AC092979.1,lncRNA,0.9622,0.012693181
3178_ID,chr3,140122261,140122345,ENST00000580582.1,AC092988.1,miRNA,NA,chr3,139654026,140296239,ENST00000458420.7_2,CLSTN2,protein_coding,NA,NA
3179_ID,chr3,130088069,130088187,ENST00000410751.1,AC093004.1,miRNA,NA,chr3,130064358,130203688,ENST00000265379.10_2,COL6A5,protein_coding,NA,NA
3180_ID,chr3,114033347,114048561,ENST00000570269.2_3,AC093010.2,lncRNA,0.5944,chr3,114033346,114866135,ENST00000675478.1_1,ZBTB20,protein_coding,0.8473,-0.047765074
3181_ID,chr2,220992266,221077212,ENST00000438633.1_1,AC093083.1,lncRNA,0.976,chr2,220970376,221315499,ENST00000432993.1_1,AC019211.1,lncRNA,0.9419,0.80364787
3182_ID,chr1,41708246,41750533,ENST00000445073.1_1,AC093151.2,lncRNA,0.9796,chr1,41707443,41804316,ENST00000657314.1_1,AC093151.7,lncRNA,0.5487,0.412164547
3183_ID,chr1,101461028,101461816,ENST00000414686.1_1,AC093157.2,lncRNA,0.727,chr1,101455178,101491340,ENST00000370109.8_5,DPH5,protein_coding,0.6897,0.061698239978566403
3184_ID,chr1,74807262,74844486,ENST00000415549.2_3,AC093158.1,lncRNA,0.9027,chr1,74663939,75010077,ENST00000648585.1_1,FPGT-TNNI3K,nonsense_mediated_decay,0.9522,0.06964079
3185_ID,chr1,74807262,74844486,ENST00000415549.2_3,AC093158.1,lncRNA,0.9027,chr1,74701070,75010112,ENST00000326637.8_2,TNNI3K,protein_coding,0.9656,0.231520899
3186_ID,chr2,85526156,85526241,ENST00000408652.1,AC093162.1,miRNA,NA,chr2,85360514,85537510,ENST00000282111.4_2,TCF7L1,protein_coding,NA,NA
3187_ID,chr2,55335845,55335939,ENST00000583669.1,AC093165.1,miRNA,NA,chr2,55254342,55339757,ENST00000427710.5_4,RTN4,protein_coding,NA,NA
3188_ID,chr5,170847019,170863176,ENST00000675071.1_1,AC093246.1,protein_coding,1,chr5,170846650,170884630,ENST00000274625.6_2,FGF18,protein_coding,0.9535,0
3189_ID,chr5,68259072,68263672,ENST00000513197.1_1,AC093248.1,lncRNA,0.8354,chr5,68088435,68303012,ENST00000668535.1_3,AC093523.1,lncRNA,0.7213,0.254184987
3190_ID,chr5,122112125,122112222,ENST00000390825.1,AC093267.1,miRNA,NA,chr5,122110774,122170238,ENST00000379516.7_2,SNX2,protein_coding,NA,NA
3191_ID,chr5,90519235,90519784,ENST00000514239.1_1,AC093281.1,lncRNA,0.9399,chr5,90447027,90610219,ENST00000650150.1_3,LUCAT1,lncRNA,0.9413,-0.141021726
3192_ID,chr5,90522291,90522888,ENST00000510153.1_1,AC093281.2,lncRNA,0.9526,chr5,90447027,90610219,ENST00000650150.1_3,LUCAT1,lncRNA,0.9413,-0.298501472
3193_ID,chr5,44753050,44765846,ENST00000511712.1_1,AC093297.1,lncRNA,0.9542,chr5,44745001,44808879,ENST00000503452.5_4,MRPS30-DT,lncRNA,0.7869,0.366351986
3194_ID,chr5,167297549,167297670,ENST00000408814.1,AC093304.1,miRNA,NA,chr5,166711803,167690001,ENST00000518659.5_1,TENM2,protein_coding,NA,NA
3195_ID,chr5,7707914,7749879,ENST00000514105.2_3,AC093305.1,lncRNA,0.9884,chr5,7396250,7830194,ENST00000338316.9_2,ADCY2,protein_coding,0.9729,0.275510758
3196_ID,chr5,93914473,93914555,ENST00000390164.1,AC093311.1,miRNA,NA,chr5,93488670,93954276,ENST00000513200.7_6,KIAA0825,protein_coding,NA,NA
3197_ID,chr2,495730,496633,ENST00000640770.1_1,AC093326.2,lncRNA,0.9963,chr2,491006,503905,ENST00000656189.1_3,LINC01874,lncRNA,1,0.599692544
3198_ID,chr18,74754819,74756695,ENST00000670694.1_3,AC093330.3,lncRNA,0.9611,chr18,74690788,74844739,ENST00000355994.7_7,MBP,protein_coding,0.9979,0.308261428
3199_ID,chr7,5315966,5316046,ENST00000581435.1,AC093376.1,miRNA,NA,chr7,5313999,5331397,ENST00000434816.5_3,SLC29A4,protein_coding,NA,NA
3200_ID,chr2,191318817,191319247,ENST00000609166.1_1,AC093388.1,lncRNA,0.6618,chr2,191273080,191367040,ENST00000392328.6_2,MFSD6,protein_coding,0.7887,-0.432582636
3201_ID,chr2,1828183,1832439,ENST00000426976.1_1,AC093390.1,lncRNA,0.745,chr2,1792895,2335120,ENST00000644820.1_4,MYT1L,protein_coding,0.9799,-0.309388398
3202_ID,chr2,1799296,1815298,ENST00000638628.1_1,AC093390.2,lncRNA,0.961,chr2,1792895,2335120,ENST00000644820.1_4,MYT1L,protein_coding,0.9799,0.397951357
3203_ID,chr3,59794994,59797036,ENST00000655190.1_3,AC093418.1,lncRNA,0.9631,chr3,59733002,61237126,ENST00000492590.6_4,FHIT,protein_coding,0.7991,0.053601021
3204_ID,chr1,59754974,59755312,ENST00000604999.1_1,AC093424.1,lncRNA,0.8449,chr1,59597631,59762163,ENST00000647858.1_3,HSD52,lncRNA,0.7917,0.319788447
3205_ID,chr1,79600817,79600911,ENST00000577685.1,AC093430.1,miRNA,NA,chr1,79355644,79747809,ENST00000661030.1_3,ADGRL4,protein_coding,NA,NA
3206_ID,chr7,149578447,149578669,ENST00000608912.1_1,AC093458.1,lncRNA,0.9204,chr7,149570689,149588293,ENST00000649866.1_2,ATP6V0E2,nonsense_mediated_decay,0.831,0.117654073
3207_ID,chr17,16330787,16332033,ENST00000441875.1_1,AC093484.1,retained_intron,0.8747,chr17,16318884,16340317,ENST00000338560.12_2,TRPV2,protein_coding,0.8913,0.655599695
3208_ID,chr17,16285465,16285983,ENST00000583934.1_3,AC093484.3,lncRNA,0.8536,chr17,16284408,16286059,ENST00000578649.1_1,UBB,processed_transcript,0.9225,-0.232627554
3209_ID,chr17,16343792,16344266,ENST00000585048.1_4,AC093484.4,lncRNA,0.8746,chr17,16342350,16381992,ENST00000580770.5_1,SNHG29,lncRNA,0.9138,-0.10170687
3210_ID,chr19,47112533,47114036,ENST00000597609.1_3,AC093503.1,lncRNA,0.958,chr19,47104586,47114039,ENST00000291295.14_3,CALM3,protein_coding,0.8684,-0.665664422
3211_ID,chr16,30075626,30076146,ENST00000617969.1_2,AC093512.1,lncRNA,0.9732,chr16,30075594,30081735,ENST00000563060.6_3,ALDOA,protein_coding,0.9076,0.243231522
3212_ID,chr16,30075626,30076146,ENST00000617969.1_2,AC093512.1,lncRNA,0.9732,chr16,30064410,30081741,ENST00000338110.10_3,AC093512.2,protein_coding,0.9152,0.173925759
3213_ID,chr16,25799307,26053668,ENST00000648941.1_1,AC093516.1,lncRNA,0.8615,chr16,25703279,26149006,ENST00000331351.6_2,HS3ST4,protein_coding,0.8941,0.438624704
3214_ID,chr16,31413885,31416020,ENST00000567545.1_1,AC093520.1,lncRNA,0.7382,chr16,31404655,31437826,ENST00000389202.3_2,ITGAD,protein_coding,0.9717,0.08864709
3215_ID,chr16,2621570,2622354,ENST00000568040.1_4,AC093525.3,lncRNA,0.8996,chr16,2588021,2653189,ENST00000342085.9_4,PDPK1,protein_coding,0.6161,0.147508093
